DATE_KEY,REF,AGE,ACCOUNT,TYPE,INFLOW,OUTFLOW,OA,SA,MA,RA,LOANS,EXCESS,MESSAGE
2037-06-30,100000596,62,ma,inflow,2299.92,0.0,328536.2500000005,328536.2500000005,328536.2500000005,328536.2500000005,328536.2500000005,328536.2500000005,ma-Allocation for ma at age 62-2299.92
2037-06-30,100000597,62,ra,inflow,219.04,0.0,130863.35999999937,130863.35999999937,130863.35999999937,130863.35999999937,130863.35999999937,130863.35999999937,ra-Allocation for ra at age 62-219.04
2037-07-31,100000598,63,oa,inflow,219.04,0.0,21304.340000000047,21304.340000000047,21304.340000000047,21304.340000000047,21304.340000000047,21304.340000000047,oa-Allocation for oa at age 63-219.04
2037-07-31,100000599,63,ma,inflow,2299.92,0.0,330836.1700000005,330836.1700000005,330836.1700000005,330836.1700000005,330836.1700000005,330836.1700000005,ma-Allocation for ma at age 63-2299.92
2037-07-31,100000600,63,ra,inflow,219.04,0.0,131082.39999999938,131082.39999999938,131082.39999999938,131082.39999999938,131082.39999999938,131082.39999999938,ra-Allocation for ra at age 63-219.04
2037-08-31,100000601,63,oa,inflow,219.04,0.0,21523.38000000005,21523.38000000005,21523.38000000005,21523.38000000005,21523.38000000005,21523.38000000005,oa-Allocation for oa at age 63-219.04
2037-08-31,100000602,63,ma,inflow,2299.92,0.0,333136.0900000005,333136.0900000005,333136.0900000005,333136.0900000005,333136.0900000005,333136.0900000005,ma-Allocation for ma at age 63-2299.92
2037-08-31,100000603,63,ra,inflow,219.04,0.0,131301.4399999994,131301.4399999994,131301.4399999994,131301.4399999994,131301.4399999994,131301.4399999994,ra-Allocation for ra at age 63-219.04
2037-09-30,100000604,63,oa,inflow,219.04,0.0,21742.42000000005,21742.42000000005,21742.42000000005,21742.42000000005,21742.42000000005,21742.42000000005,oa-Allocation for oa at age 63-219.04
2037-09-30,100000605,63,ma,inflow,2299.92,0.0,335436.0100000005,335436.0100000005,335436.0100000005,335436.0100000005,335436.0100000005,335436.0100000005,ma-Allocation for ma at age 63-2299.92
2037-09-30,100000606,63,ra,inflow,219.04,0.0,131520.4799999994,131520.4799999994,131520.4799999994,131520.4799999994,131520.4799999994,131520.4799999994,ra-Allocation for ra at age 63-219.04
2037-10-31,100000607,63,oa,inflow,219.04,0.0,21961.46000000005,21961.46000000005,21961.46000000005,21961.46000000005,21961.46000000005,21961.46000000005,oa-Allocation for oa at age 63-219.04
2037-10-31,100000608,63,ma,inflow,2299.92,0.0,337735.93000000046,337735.93000000046,337735.93000000046,337735.93000000046,337735.93000000046,337735.93000000046,ma-Allocation for ma at age 63-2299.92
2037-10-31,100000609,63,ra,inflow,219.04,0.0,131739.5199999994,131739.5199999994,131739.5199999994,131739.5199999994,131739.5199999994,131739.5199999994,ra-Allocation for ra at age 63-219.04
2037-11-30,100000610,63,oa,inflow,219.04,0.0,22180.50000000005,22180.50000000005,22180.50000000005,22180.50000000005,22180.50000000005,22180.50000000005,oa-Allocation for oa at age 63-219.04
2037-11-30,100000611,63,ma,inflow,2299.92,0.0,340035.85000000044,340035.85000000044,340035.85000000044,340035.85000000044,340035.85000000044,340035.85000000044,ma-Allocation for ma at age 63-2299.92
2037-11-30,100000612,63,ra,inflow,219.04,0.0,131958.55999999942,131958.55999999942,131958.55999999942,131958.55999999942,131958.55999999942,131958.55999999942,ra-Allocation for ra at age 63-219.04
